Total Word Count: 214710
Most Frequent Top 5 Words:  -------------------------------------------
W: whale  Count: 1146
W: not  Count: 1141
W: one  Count: 907
W: there  Count: 856
W: now  Count: 778
Unique Words in alphabetic order : ------------------------------------
W: abandonedly  Count: 1
W: abasement  Count: 1
W: abate  Count: 1
W: abatement  Count: 1
W: abbreviate  Count: 1
W: abbreviation  Count: 1
W: abeam  Count: 1
W: abednego  Count: 1
W: abel  Count: 1
W: abhorrence  Count: 1
W: abhorrent  Count: 1
W: abhorring  Count: 1
W: abided  Count: 1
W: ability  Count: 1
W: abjectly  Count: 1
W: abjectus  Count: 1
W: abode  Count: 1
W: abominate  Count: 1
W: abominated  Count: 1
W: abomination  Count: 1
W: aboriginally  Count: 1
W: aboriginalness  Count: 1
W: abortion  Count: 1
W: abortions  Count: 1
W: abounded  Count: 1
W: aboundingly  Count: 1
W: absorbingly  Count: 1
W: abstained  Count: 1
W: abstemious  Count: 1
W: abstinence  Count: 1
W: abstract  Count: 1
W: abstracted  Count: 1
W: abstraction  Count: 1
W: absurdly  Count: 1
W: academy  Count: 1
W: accelerated  Count: 1
W: accept  Count: 1
W: accessible  Count: 1
W: accidental  Count: 1
W: accommodated  Count: 1
W: accommodation  Count: 1
W: accompanies  Count: 1
W: accomplishing  Count: 1
W: accomplishment  Count: 1
W: accountable  Count: 1
W: accountants  Count: 1
W: accounting  Count: 1
W: accumulate  Count: 1
W: accumulating  Count: 1
W: accurate  Count: 1
